,datetime,price_usd,twitter_followers,daily_opening_price_usd,daily_high_price_usd,daily_low_price_usd,daily_closing_price_usd,daily_avg_price_usd,marketcap_usd,nvt,circulation_1d,dormant_circulation_90d,exchange_balance,daily_active_addresses,network_growth,transaction_volume,velocity,dev_activity,dev_activity_contributors_count,sentiment_positive_total,sentiment_negative_total,sentiment_balance_total,social_dominance_total,social_volume_total,unique_social_volume_total_5m,whale_transaction_count_100k_usd_to_inf,whale_transaction_count_1m_usd_to_inf,btc_price_usd,eth_NFT_buyers,total_NFT_buyers,000001.SS,^GSPC,^IXIC,^N100,^NDX,daily transactions,volume_ETH,daily_trading_volume_ETH,eth_NFT_sales_ETH,total_NFT_sales_ETH,total_TVL_ETH,eth_TVL_ETH,fees_usd_ETH,mvrv_usd_ETH
32,2017-08-20,301.428,51183.042735042734,296.644,301.428,291.58,301.428,296.092784722222,28375046490.0,78.25921645991468,1203766.581872888,45278.654985305606,-43102.80674579047,140127.0,36801.0,10496888.14992493,8.720036183083788,16.0,9.0,335.08353370428085,230.6246297955513,104.45890390872955,9.668626515188386,2296.0,551.0,11336.0,33.0,4087.66,1.0,1.0,3267.4683430989585,2426.2132975260415,6218.366536458333,993.1866658528646,5795.32666015625,309926.0,1897458.099446634,1897458.099446634,1.234258263996709,1.234258263996709,0.0,0.0,287.7467415575332,0.009959863589519025
33,2017-08-21,321.591,52782.51282051282,300.476,347.049,297.234,321.591,322.13748263888886,30280406340.0,38.68311275075329,2435909.847441555,123872.46936505135,15047.231534809345,173332.0,49279.0,13031515.650000852,5.349752850534299,327.0,19.0,498.69988733530045,409.6398848891258,89.06000244617462,13.847061380552455,3735.0,759.0,12826.0,176.0,4001.74,6.0,6.0,3274.5810546875,2425.5,6216.31982421875,992.5,5791.0400390625,392880.0,7615169.578750649,7615169.578750649,2.076519554340762,2.076519554340762,0.0,0.0,330.0962624307025,0.009877772634976599
34,2017-08-22,314.785,54381.982905982906,321.055,327.361,297.913,314.785,312.26807638888863,29646659313.0,82.12620687737439,1147637.257267119,57443.877092670155,-24756.822637679892,161208.0,54788.0,11871372.692132078,10.344185514174303,218.0,21.0,441.3498684167862,306.82174837589264,134.52812004089355,11.613802930535563,3116.0,728.0,13198.0,41.0,4100.52,1.0,1.0,3287.614990234375,2433.75,6241.2099609375,995.2899780273438,5817.2900390625,364727.0,4245437.36200899,4245437.36200899,0.39986022205632415,0.39986022205632415,0.0,0.0,321.7322341465615,0.009843347155111837
35,2017-08-23,317.519,55981.45299145299,315.266,324.21,314.539,317.519,319.29695138888883,29911326161.0,96.84959280154946,973403.24526376,102510.02881982365,-90250.75648422657,181578.0,60331.0,13403575.404566655,13.769807600085526,285.0,24.0,443.7562502026558,234.91579216718674,208.84045803546906,10.0329219981153,2617.0,639.0,16095.0,39.0,4151.52,2.0,2.0,3283.797119140625,2444.8798828125,6263.47021484375,997.8400268554688,5842.16015625,374711.0,2557295.7838743506,2557295.7838743506,0.49061630957517505,0.49061630957517505,0.0,0.0,317.7698144158571,0.009798949025425161
36,2017-08-24,325.611,57580.92307692308,317.448,327.96,317.081,325.611,322.0001909722221,30680964299.0,81.8104558936323,1152618.3969913737,311935.2223765321,-80288.57907908769,156757.0,49665.0,12367379.941928452,10.729813071010671,340.0,36.0,358.25822442770004,200.62507796287537,157.63314646482468,9.285773940106681,2570.0,678.0,14064.0,63.0,4334.68,2.5,2.5,3287.958984375,2447.909912109375,6294.81982421875,997.219970703125,5863.990234375,352465.0,2142633.3876926764,2142633.3876926764,0.7878880013267365,0.7878880013267365,0.0,0.0,319.2758762827946,0.009687971830907334
37,2017-08-25,331.915,59180.393162393164,326.109,336.398,325.796,331.915,332.2570624999996,31281210162.0,82.30125665816719,1145973.5156564289,89383.02171415351,-28848.48383163362,165800.0,48581.0,10899030.628106292,9.510717725324886,514.0,19.0,401.3288514018059,225.8609648346901,175.46788656711578,10.618188397645191,2572.0,648.0,12285.0,109.0,4371.6,3.0,3.0,3271.4609375,2444.719970703125,6293.81005859375,995.6199951171875,5854.31005859375,352621.0,2290734.0734826685,2290734.0734826685,1.076510552400464,1.076510552400464,0.0,0.0,310.51048089522374,0.009625000160318005
38,2017-08-26,333.882,60779.86324786325,331.99,334.985,327.919,333.882,331.00450347222215,31472781161.0,142.10356897089517,663837.1138382372,55433.26643328103,-24863.702230338316,133054.0,39468.0,5697299.023695062,8.582374960552624,18.0,5.0,323.32549637556076,155.4630708694458,167.86242550611496,9.192696407961675,2033.0,632.0,6975.0,25.0,4352.4,2.0,2.0,3293.0159505208335,2445.5966796875,6291.2099609375,992.9666544596354,5849.296712239583,306268.0,1540008.1465907118,1540008.1465907118,0.7171246128871877,0.7171246128871877,0.0,0.0,295.0904838562123,0.009596893876412925
39,2017-08-27,347.893,62379.333333333336,334.357,347.893,334.357,347.893,337.8756875000001,32799991738.0,82.12345601271477,1148907.5870223208,488770.17756831215,39878.460948908454,136840.0,40167.0,20031917.82947915,17.4356215032067,15.0,5.0,317.83529967069626,193.36989170312881,124.46540796756744,10.329433296821913,2378.0,711.0,10580.0,1856.0,4382.88,1.0,1.0,3314.5709635416665,2446.473388671875,6288.60986328125,990.3133138020834,5844.283365885417,324173.0,1820588.5142845646,1820588.5142845646,0.3494177807544274,0.3494177807544274,0.0,0.0,267.2916795633491,0.009470783745734984
40,2017-08-28,347.747,63978.80341880342,350.043,352.054,338.407,347.747,344.32289236111126,32792635350.0,71.73927728206951,1315467.491862213,193071.40686662067,-50622.82303605357,159430.0,46414.0,28680810.423042312,21.802751189569772,352.0,20.0,438.57819986343384,238.21148306131363,200.3667168021202,11.29560020262087,2651.0,750.0,17749.0,1393.0,4382.66,6.0,6.0,3336.1259765625,2447.35009765625,6286.009765625,987.6599731445312,5839.27001953125,363799.0,2456725.7230112697,2456725.7230112697,2.9852737766249597,2.9852737766249597,0.0,0.0,320.0779400616032,0.009388538979586384
41,2017-08-29,370.667,65578.2735042735,347.965,373.763,347.79,370.667,359.864888888889,34961063278.0,59.10827426911158,1596896.0095292004,433649.98894840636,-44577.60202177752,172522.0,53232.0,21614701.659915265,13.535447224438384,262.0,19.0,510.62586015462875,369.5102064013481,141.11565375328064,12.710814168908906,3657.0,895.0,18872.0,294.0,4579.02,1.0,1.0,3362.06005859375,2431.93994140625,6228.89990234375,978.969970703125,5785.2900390625,394649.0,3291444.8817941714,3291444.8817941714,0.25176236352305437,0.25176236352305437,0.0,0.0,501.90937483457765,0.009218480156682507
42,2017-08-30,378.485,67177.7435897436,369.473,388.748,361.971,378.485,377.1046979166665,35705639884.0,71.38298194692916,1322566.0884682778,194230.95685432985,-99732.8166976152,183018.0,58082.0,36231740.07286021,27.39503181637179,173.0,20.0,471.04386788606644,368.24632066488266,102.79754722118378,12.309959456927121,3584.0,815.0,23750.0,2732.0,4565.3,2.0,2.0,3361.821044921875,2446.06005859375,6308.68017578125,984.6300048828125,5870.8798828125,400220.0,3522781.6161802975,3522781.6161802975,0.468023831855952,0.468023831855952,0.0,0.0,431.6013569275799,0.009109856180981242
43,2017-08-31,383.042,68777.21367521367,378.441,386.139,376.354,383.042,380.99652313167303,36142706813.0,71.68840222562784,1317193.1669408164,234878.6218048288,-198796.921818426,185154.0,57450.0,17167201.162053727,13.033169008852,268.0,22.0,441.68710064888,370.9152931571007,70.77180749177933,11.54638866257239,3326.0,937.0,22137.0,85.0,4703.39,1.0,1.0,3361.4619140625,2462.64990234375,6385.7998046875,989.8800048828125,5948.740234375,384421.0,1843803.0294328039,1843803.0294328039,0.27393862813999514,0.27393862813999514,0.0,0.0,736.6033728641835,0.008996923298577337
44,2017-09-01,387.741,70376.68376068377,383.467,390.044,383.467,387.741,387.8005138888891,36593410760.0,103.47975265810423,912703.2512104195,98018.46293393448,-24114.08230956667,177031.0,56984.0,16019030.119945742,17.551192130310497,147.0,20.0,388.82722049951553,305.59252232313156,83.23469817638397,9.720453642336132,3000.0,633.0,20907.0,87.0,4892.01,3.0,3.0,3365.990966796875,2474.419921875,6442.169921875,997.0900268554688,6001.81982421875,390997.0,2254654.5245408663,2254654.5245408663,1.3230481171709982,1.3230481171709982,0.0,0.0,515.231535272526,0.008937008208409682
